municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-06 22:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-06 22:20:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-06 23:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-06 23:50:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 00:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 00:20:00.0;0,40;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 00:30:00.0;5,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 00:40:00.0;1,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 00:50:00.0;0,60;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 01:00:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 01:10:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 01:30:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 01:50:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 02:00:00.0;0,40;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 02:10:00.0;1,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 02:20:00.0;0,60;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 02:30:00.0;0,40;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 03:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 03:20:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 04:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 05:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 06:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 07:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 08:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 09:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 10:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 11:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 12:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 13:10:00.0;0,00;
